商品标题,商品价格,店铺名称,购买人数,地点,商品图片链接,商品详情链接,店铺链接
黑色辣妹连衣裙女针织2022新款秋冬短裙包臀紧身后妈裙子套装冬季,69.90,生活宣言服饰旗舰店,9000+人付款,山东 青岛,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2209464543242/O1CN016I72fE1ZospOyDmGZ_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=683795089503&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2209464543242
芭比姨 针织连衣裙女秋冬包臀裙毛衣裙开叉长裙加厚卫衣裙后妈裙,132.99,solovemi米米,6000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2988053804/O1CN01Z8NbPV1dyHQVJcOlm_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=685705793747&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2988053804
CloudSweet 换日线_微透心机岛精高领针织连衣裙女冬内搭收腰短裙,198.99,marichi200305,4000+人付款,浙江 杭州,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/55883317/O1CN01M8smnA1aNEXWza4aT_!!55883317.jpg,//item.taobao.com/item.htm?id=685365315312&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=55883317
芭比姨 针织连衣裙女秋冬学院风裙子polo领内搭长袖毛衣裙包臀裙,161.49,solovemi米米,5000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2988053804/O1CN01TxPlA21dyHQddHZNh_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=685362312628&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2988053804
赫本风黑色鱼尾连衣裙秋冬季气质女装高级感两件套装富家千金裙子,325.00,红贝芙旗舰店,900+人付款,广东 东莞,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2200727013047/O1CN01v7Xpe41YNZbBScIbi_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=686305008394&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2200727013047
秋装新款2022年小众设计黑色连衣裙女夏赫本风小黑裙法式打底长裙,94.00,安丽儿旗舰店,26人付款,广东 东莞,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3082769091/O1CN01ONpspi2H1jN4kyK3y_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=667740547559&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3082769091
法式黑色针织长袖连衣裙女秋冬季2022新款打底裙子配大衣内搭长裙,128.00,韩萱薇旗舰店,3000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3699339440/O1CN016PBnw42JbZe0XHIsA_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=684331902732&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3699339440
长袖吊带连衣裙女秋冬季2022新款法式高级感背带裙子秋冬两件套装,119.00,月牙象旗舰店,4000+人付款,广东 广州,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/2200712854000/O1CN01WrO60Y1fQ33Z2cXCD_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=681042435337&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2200712854000
阔色复古法式背带连衣裙女2022秋冬裙新款内搭打底吊带长裙子预售,368.00,kuose阔色旗舰店,1000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1023197390/O1CN012R3uG024SfifFZaCF_!!1023197390.jpg,//detail.tmall.com/item.htm?id=685964880723&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=1023197390
2022新款秋冬女装茶系奶系穿搭初秋一整套搭配高级感连衣裙子套装,78.00,沙菲利旗舰店,3000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2133725026/O1CN01kPta4Y1mzxKyK7Gwa_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=657810045720&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2133725026
秋季2022年新款连衣裙背带裙两件套日系学院风套装裙子女秋冬长裙,158.00,mi小姐在线,3000+人付款,广东 广州,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/3000316937/O1CN01FOfOvs217CIDZC2aa_!!3000316937.jpg,//item.taobao.com/item.htm?id=686387338580&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=3000316937
SourceWithU 悠闲假日 含羊毛软糯韩版温柔针织毛衣连衣裙女秋冬,292.60,tb259518671,1000+人付款,浙江 温州,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/2210320529790/O1CN01uj0Tli2MBsGk5FfMZ_!!2210320529790.jpg,//item.taobao.com/item.htm?id=685467647234&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2210320529790
秋冬韩系学院风jk制服两件套装包臀裙小香风御姐减龄茶系连衣裙女,128.00,歌柏芙旗舰店,2000+人付款,广东 广州,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/3945508051/O1CN01nUhjM829LPV8AaVdN_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=683711426219&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3945508051
CHACHASTU 复古长袖针织连衣裙女秋冬紫色灰色慵懒风连帽毛衣裙子,218.00,xionglong1987,2000+人付款,广东 广州,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/322991926/O1CN01u0r8LI1Q69cGPDB3P_!!322991926.jpg,//item.taobao.com/item.htm?id=685732034102&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=322991926
EIA一尧【心软的神】新中式褶皱连衣裙女秋冬两件套开衫吊带裙,79.00,魅影mylove,2000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/891295387/O1CN01uslWod1pfIOE2Cyy3_!!891295387.jpg,//item.taobao.com/item.htm?id=682704830413&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=891295387
乐町假两件连衣裙2022秋冬新款女气质小香风套装富家千金黑色裙子,440.00,乐町官方旗舰店,500+人付款,浙江 宁波,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/513051429/O1CN01B8q0qj1MQWlpyzVNA_!!513051429.jpg,//detail.tmall.com/item.htm?id=681720561606&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=513051429
鹭青一【缪斯裙】针织连衣裙女秋冬法式复古气质小黑裙高领毛衣裙,279.00,鹭青一,2000+人付款,浙江 杭州,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3321194214/O1CN0143sHAm1h03oeDFPn1_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=686355566561&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=3321194214
UR2022秋季新品女装复古暗黑风镂空紧身针织连衣裙WG32S9FN2005,399.00,ur官方旗舰店,100+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2104668892/O1CN016sRnOI2FYabmPWqbg_!!2104668892.jpg,//detail.tmall.com/item.htm?id=680221518859&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2104668892
茵曼2022冬季新款气质收腰显瘦百褶a字拼接圆领长袖黑色连衣裙女,399.00,茵曼旗舰店,100+人付款,广东 佛山,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/130974249/O1CN01E0M8m51hG5g6vSKrC_!!130974249.jpg,//detail.tmall.com/item.htm?id=687412158933&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=130974249
ONLY2022冬季新款气质假两件收腰显瘦长袖衬衫连衣裙女|122407004,399.00,only官方旗舰店,800+人付款,天津,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/356060330/O1CN011SWCyY1EJBUqxYa5c-356060330.jpg,//detail.tmall.com/item.htm?id=681727527736&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=356060330
秋装新品蓝色网纱气质显瘦长款过膝仙女连衣裙清新百褶裙,100.00,丁若朗,100+人付款,北京,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/1697353876/O1CN01ZTRkMm1eVFwSzp0fz_!!1697353876.jpg,//item.taobao.com/item.htm?id=659141274622&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=1697353876
K姐自制【气质担当】莫代尔混纺纱拼接毛绒蕾丝气质显瘦连衣裙女,229.00,大弓100,3000+人付款,浙江 杭州,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/10550225/O1CN01lgwWyn1DX5uCZqyD4_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=691816822849&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=10550225
秋天君autumn 连帽针织连衣裙女秋冬长款韩版宽松卫衣内搭毛衣裙,175.75,你的冬天14,2000+人付款,浙江 金华,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/821386082/O1CN01YZ8usg1unbeUWQNNX_!!821386082.jpg,//item.taobao.com/item.htm?id=659521157552&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=821386082
阔色碎花法式吊带连衣裙女2022新款秋冬打底背带裙内搭长裙子预售,299.00,kuose阔色旗舰店,900+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1023197390/O1CN01hHrH5Z24SfiaY6826_!!1023197390.jpg,//detail.tmall.com/item.htm?id=683811324589&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=1023197390
马西西微胖mm 收腰显瘦针织连衣裙女秋冬大码v领宽松长裙气质裙子,189.00,hilary618618,3000+人付款,浙江 杭州,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/412288949/O1CN01ZpJj142FyhBNMoyuF_!!412288949.jpg,//item.taobao.com/item.htm?id=688837438704&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=412288949
唐狮V领长袖黑色内搭针织打底连衣裙女秋冬2022新款中长毛衣裙ks,149.90,唐狮官方旗舰店,1000+人付款,浙江 嘉兴,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/188124207/O1CN01g6lOwk1gwr2UHquxM_!!188124207.jpg,//detail.tmall.com/item.htm?id=681235170496&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=188124207
鹭青一【遗珠】黑色连衣裙女秋冬新款重工法式小黑裙复古针织长裙,379.05,鹭青一,2000+人付款,浙江 杭州,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/3321194214/O1CN01o5aDgh1h03oaTOaZr_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=685126246819&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=3321194214
【李佳琦直播间】kbne针织拼接连衣裙女2022新款中长款长袖裙子,369.00,kbne服饰旗舰店,5000+人付款,浙江 嘉兴,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2780015496/O1CN01Im1qc11qTDZYZXqTd_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=690170607897&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2780015496
【HOT】UR2022新款女装法系慵懒抽皱抽绳碎花连衣裙WL19S7ES2000,99.00,ur官方旗舰店,37人付款,广东 广州,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2104668892/O1CN01sE3zVt2FYabngGONn_!!2104668892.jpg,//detail.tmall.com/item.htm?id=675722032023&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2104668892
ASM ANNA◆玛蒂斯小姐~气质v领高级感黑裙 收腰法式丝绒连衣裙女,299.99,土屋_anna,2000+人付款,浙江 杭州,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/266969832/O1CN01vZ25mD2MV6ufEVvYV_!!266969832.jpg,//item.taobao.com/item.htm?id=683380205583&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=266969832
【曼城少女】Uena虞书欣同款卡其色娃娃领连衣裙下摆百褶西装裙子,533.00,uena旗舰店,400+人付款,浙江 杭州,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2213912806886/O1CN01InODEL20jq6UxLajz_!!2213912806886.jpg,//detail.tmall.com/item.htm?id=682368523274&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2213912806886
邓六六法式名媛轻奢小礼裙氛围感穿搭重工刺绣假两件连衣裙女秋装,173.00,凉美lia,1000+人付款,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2479761659/O1CN01sAM7GK1O7rrFME03d_!!2479761659.jpg,//item.taobao.com/item.htm?id=684700608160&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2479761659
秋装新款2022年小个子气质显瘦西装内搭a字裙女夏黑色吊带连衣裙,103.50,安丽儿旗舰店,20人付款,广东 东莞,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3082769091/O1CN01f0rpnK2H1jJKH4Yx6_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=644817975101&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3082769091
Q女家 温莎学院/刺绣假两件衬衫撞色显瘦连衣裙秋冬黑色2022新款,279.00,chiwawaq509,1000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/736404203/O1CN01Idr3Gx1gv1Rc6VBvp_!!736404203.jpg,//item.taobao.com/item.htm?id=683870547255&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=736404203
